Unnamed: 0,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Turnover,TenureDays
2574,Trent,Sandoval,2018-09-27,2022-12-12,Production Technician I,Thomas Nguyen,trent.sandoval@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Retirement,Pick memory station mother process election.,Production       ,General - Con,15-10-1942,MA,Laborer,Male,5140,Asian,Widowed,Fully Meets,5,3001,13-04-2023,5,4,3,26-Dec-22,Communication Skills,Internal,Passed,Alexanderchester,Mrs. Elizabeth Salazar,5,346.93,1,1537
2575,Reginald,Dougherty,2020-10-27,,Production Technician II,Miss Angel Elliott,reginald.dougherty@bilearner.com,BPC,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,General - Con,16-05-1991,MA,Laborer,Female,55498,White,Widowed,Fully Meets,2,3002,10-09-2022,3,3,3,05-Feb-23,Leadership Development,Internal,Passed,North Rachel,Arthur Parker MD,4,247.81,0,1013
2576,Paul,Greer,2021-10-01,,Production Technician II,Dwayne Johnson,paul.greer@bilearner.com,CCDR,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,31-08-1990,MA,Groundman,Female,40722,Other,Single,Fully Meets,5,3003,17-01-2023,4,3,5,16-Nov-22,Technical Skills,Internal,Passed,Danielleborough,Brandon Cook,4,144.84,0,674
2577,Tiara,Velez,2019-08-29,2022-06-19,Production Technician II,Lisa Walters,tiara.velez@bilearner.com,EW,Active,Full-Time,Zone B,Full-Time,Retirement,Most since article thousand.,Production       ,General - Con,24-01-1996,MA,Laborer,Female,77466,Asian,Divorced,Fully Meets,5,3004,21-10-2022,4,3,4,07-Mar-23,Technical Skills,Internal,Incomplete,Christopherchester,Brandi Perez,1,183.63,1,1025
2578,Mareli,Wilson,2020-12-29,,Production Technician II,Brandon Coleman,mareli.wilson@bilearner.com,MSC,Active,Contract,Zone C,Part-Time,Unk,,Production       ,General - Con,20-01-1943,MA,Technician,Female,57657,Hispanic,Widowed,Fully Meets,2,3005,18-01-2023,4,5,1,21-Mar-23,Communication Skills,Internal,Passed,Scottburgh,Terry Green,5,997.4,0,950
2579,Efrain,Underwood,2022-10-04,,Production Technician II,Michael Smith,efrain.underwood@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,26-07-1968,MA,Laborer,Female,88958,Asian,Single,Fully Meets,1,3006,28-02-2023,3,5,2,13-May-23,Communication Skills,External,Passed,Port Jaredfort,Shannon Turner,3,415.18,0,306
2580,Madeline,Powell,2019-03-21,2022-09-25,Production Technician II,Gabriela Boyd,madeline.powell@bilearner.com,PL,Active,Part-Time,Zone A,Full-Time,Resignation,Stock professor pattern turn attention news.,Production       ,General - Con,13-10-1949,MA,Technician,Female,22812,Black,Married,Fully Meets,2,3007,15-05-2023,2,5,3,19-Jul-23,Customer Service,External,Incomplete,Thomaschester,Robert Gardner,5,147.35,1,1284
2581,Alfred,Goodman,2020-04-03,2021-12-27,Production Technician II,Kevin Robertson,alfred.goodman@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Involuntary,Stuff campaign any huge you kid cup.,Production       ,General - Sga,06-03-1977,MA,Construction Manager,Female,96960,Black,Widowed,Fully Meets,4,3008,09-04-2023,2,1,4,15-Mar-23,Leadership Development,Internal,Incomplete,Nguyenmouth,Tamara Perez,3,967.08,1,633
2582,Aracely,Kelly,2019-06-02,2021-07-14,Production Technician I,Tony Moyer,aracely.kelly@bilearner.com,EW,Active,Part-Time,Zone C,Part-Time,Resignation,Avoid so despite. Risk bill cause school off.,Production       ,Billable Consultants,01-05-1997,MA,Engineer,Male,14887,White,Married,Fully Meets,2,3009,27-10-2022,1,2,4,20-Nov-22,Leadership Development,Internal,Incomplete,East William,William Hensley,4,637.86,1,773
2583,Morgan,Velazquez,2019-05-31,2020-09-04,Production Technician I,Heidi Ruiz,morgan.velazquez@bilearner.com,MSC,Leave of Absence,Part-Time,Zone C,Temporary,Retirement,Billion provide season another.,Production       ,General - Con,15-03-1947,MA,Flagger,Male,33080,Other,Married,Fully Meets,1,3010,19-11-2022,1,5,5,11-Sep-22,Project Management,External,Failed,South Andrew,Kevin Lyons,3,299.13,1,462
2584,Isla,Becker,2020-01-06,2020-05-04,Production Technician I,Valerie Gallagher,isla.becker@bilearner.com,TNS,Leave of Absence,Part-Time,Zone A,Full-Time,Involuntary,Affect organization we organization well sense.,Production       ,Engineers,11-02-1954,MA,Engineer,Female,51348,Hispanic,Widowed,Fully Meets,5,3011,07-12-2022,4,4,3,11-Oct-22,Leadership Development,External,Incomplete,Lynnburgh,Maurice Cole,3,935.75,1,119
2585,Scott,Sanford,2018-08-19,2021-02-18,Production Technician I,Walter Sanchez,scott.sanford@bilearner.com,BPC,Leave of Absence,Contract,Zone A,Temporary,Retirement,Room force them drop catch. Consumer why rock.,Production       ,General - Sga,28-05-1950,MA,Manager,Female,3143,Asian,Single,Exceeds,1,3012,22-01-2023,3,5,1,22-Sep-22,Technical Skills,External,Failed,South Jameshaven,Gregg Foster,3,494.02,1,914
2586,Deja,Ritter,2019-05-18,,Production Technician I,Misty Preston,deja.ritter@bilearner.com,CCDR,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Splicing,25-03-1982,MA,Splicer,Female,35422,Asian,Widowed,PIP,1,3013,13-07-2023,5,2,4,23-May-23,Leadership Development,Internal,Incomplete,New Gregory,Matthew Sanders,4,776.3,0,1541
2587,Amelia,Gamble,2022-11-23,2022-12-09,Production Technician I,Danielle Long,amelia.gamble@bilearner.com,EW,Active,Contract,Zone B,Temporary,Resignation,Bring guy religious week second technology.,Production       ,Field Operations,17-07-1967,MA,Flagger,Male,81914,Hispanic,Single,PIP,2,3014,19-03-2023,3,4,2,01-Feb-23,Leadership Development,Internal,Completed,Lake Jeffreyborough,Rebecca Robbins,3,326.37,1,16
2588,Pranav,Middleton,2020-12-02,,Production Technician I,Michael Hendricks,pranav.middleton@bilearner.com,MSC,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,General - Sga,14-06-1976,MA,Clerk,Male,56005,Hispanic,Single,PIP,2,3015,04-12-2022,5,5,5,18-Nov-22,Customer Service,External,Completed,Bryanburgh,Diane Duran,1,108.95,0,977
2589,Moshe,Hunter,2022-01-05,,Production Technician I,Ashley Hill,moshe.hunter@bilearner.com,NEL,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Finance & Accounting,02-07-2000,MA,Accounting,Male,19295,Black,Widowed,PIP,4,3016,29-11-2022,3,1,2,26-Jan-23,Communication Skills,Internal,Completed,Walterland,Mr. James Barnes,4,550.9,0,578
2590,Arjun,Gibson,2023-04-16,2023-08-04,Production Technician I,Douglas Washington,arjun.gibson@bilearner.com,PL,Active,Full-Time,Zone B,Full-Time,Voluntary,Money few season own goal social.,Production       ,Field Operations,12-12-1994,MA,Laborer,Female,89360,Other,Divorced,PIP,5,3017,28-09-2022,3,5,3,19-Aug-22,Technical Skills,Internal,Incomplete,West Elizabethborough,Stephen Freeman,4,795.89,1,110
2591,Alaina,Jenkins,2020-10-10,2023-06-23,Production Technician I,John Jordan,alaina.jenkins@bilearner.com,PYZ,Active,Contract,Zone C,Part-Time,Retirement,Thank person level north none analysis its.,Production       ,Project Management - Con,13-06-1974,MA,Manager,Female,77355,Black,Widowed,PIP,2,3018,13-09-2022,1,1,4,02-Apr-23,Communication Skills,External,Passed,Juanton,Jenna Waters,1,980.49,1,986
2592,Elyse,Morrow,2022-04-15,2023-07-04,Production Technician I,Thomas Humphrey,elyse.morrow@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Voluntary,Create budget ground foot action note may.,Production       ,Finance & Accounting,21-09-1979,MA,Administrative,Female,26467,Asian,Married,PIP,2,3019,11-09-2022,3,4,2,18-Nov-22,Technical Skills,External,Failed,Port Thomaston,Stephanie Dixon,1,155.46,1,445
2593,Lincoln,Brady,2023-07-25,,Production Technician I,Paula Perez,lincoln.brady@bilearner.com,TNS,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,General - Con,07-01-1944,MA,Technician,Male,8903,Black,Widowed,PIP,2,3020,28-07-2023,2,5,1,19-Jun-23,Project Management,External,Completed,South Mariamouth,Justin Stanton,2,367.74,0,12
2594,Allisson,Braun,2020-08-31,,Production Technician I,Scott Torres,allisson.braun@bilearner.com,WBL,Active,Contract,Zone A,Temporary,Unk,,Production       ,Wireline Construction,14-05-1987,MA,Administrative,Male,95247,Other,Single,PIP,2,3021,19-10-2022,5,3,4,04-Aug-23,Customer Service,External,Passed,Coreyborough,Rachel Roach,3,115.55,0,1070
2595,Leonel,Chang,2018-10-10,2020-05-17,Production Technician I,Miguel Rodgers,leonel.chang@bilearner.com,BPC,Active,Full-Time,Zone C,Full-Time,Retirement,In business challenge rock environment.,Production       ,Splicing,16-07-1976,MA,Laborer,Male,23955,Other,Married,PIP,1,3022,05-02-2023,2,2,3,15-Dec-22,Communication Skills,External,Completed,New Kevin,Charles Garcia,3,848.52,1,585
2596,Marshall,Lucas,2019-01-15,2021-04-03,Production Technician II,Grant Brooks,marshall.lucas@bilearner.com,TNS,Voluntarily Terminated,Contract,Zone B,Part-Time,Retirement,Personal themselves institution record.,Production       ,General - Con,30-01-1958,MA,Technician,Female,46410,Black,Widowed,PIP,2,3023,19-09-2022,3,5,3,04-May-23,Project Management,Internal,Passed,South Gregborough,Kevin Brown,5,321.61,1,809
2597,Haiden,Scott,2021-12-26,,Production Technician II,Kristina Jackson,haiden.scott@bilearner.com,BPC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Project Management - Con,28-03-1962,MA,Supervisor,Female,51804,Hispanic,Widowed,Fully Meets,2,3024,05-03-2023,4,5,5,21-Dec-22,Technical Skills,External,Passed,South Javierview,Emily Henderson,4,957.12,0,588
2598,Kyan,Miranda,2022-05-23,,Production Technician II,Melissa Stuart,kyan.miranda@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Project Management - Con,29-03-1999,MA,Technician,Female,10677,Black,Married,Fully Meets,1,3025,25-01-2023,3,4,5,27-Aug-22,Communication Skills,External,Incomplete,Kingberg,Leah Woods,3,177.63,0,440
2599,Ayanna,Garrison,2022-08-23,,Production Technician II,Deborah Lopez,ayanna.garrison@bilearner.com,EW,Active,Contract,Zone C,Part-Time,Unk,,Production       ,Project Management - Con,05-08-1943,MA,Lineman,Female,80801,Asian,Divorced,Fully Meets,2,3026,17-10-2022,3,2,4,02-Nov-22,Customer Service,External,Passed,Keithland,Debbie Adkins,3,864.03,0,348
2600,Alan,Woods,2023-05-27,2023-07-28,Production Technician II,Erin George,alan.woods@bilearner.com,MSC,Active,Part-Time,Zone A,Full-Time,Voluntary,Me who grow similar realize.,Production       ,General - Eng,08-05-1943,MA,Administrative,Female,7984,White,Single,Fully Meets,5,3027,17-02-2023,3,2,4,05-Jul-23,Communication Skills,External,Incomplete,New Kelseyland,Matthew Ramirez,4,707.06,1,62
2601,Teagan,Phelps,2018-08-10,2021-07-25,Production Technician II,Brian Green,teagan.phelps@bilearner.com,NEL,Voluntarily Terminated,Contract,Zone B,Temporary,Resignation,Whether give voice pull make.,Production       ,Engineers,02-05-2000,MA,Engineer,Female,32254,Asian,Married,Fully Meets,2,3028,01-04-2023,5,4,1,20-Oct-22,Communication Skills,Internal,Completed,Nguyenstad,Benjamin Mathews,4,690.29,1,1080
2602,Malachi,Burnett,2021-10-24,2023-02-03,Production Technician II,Tommy Lee,malachi.burnett@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Voluntary,Fire necessary sing first traditional.,Production       ,Finance & Accounting,14-06-1959,MA,Clerk,Female,5819,Asian,Widowed,Fully Meets,4,3029,08-02-2023,1,1,3,03-Jul-23,Project Management,External,Incomplete,Bridgesside,Brian Murphy,1,721.83,1,467
2603,Kadin,Mcdowell,2022-07-05,2023-01-03,Production Technician II,Kevin Davis,kadin.mcdowell@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Voluntary,Left she before though finally.,Production       ,Wireline Construction,10-08-1953,MA,Laborer,Female,51064,White,Single,Fully Meets,1,3030,05-12-2022,2,2,5,24-Dec-22,Technical Skills,Internal,Passed,Port Codyburgh,Miranda Kennedy,2,287.34,1,182
2604,Reed,Brandt,2022-01-22,2023-03-03,Production Technician I,Jamie Anderson,reed.brandt@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Resignation,Enough final gun case.,Production       ,Project Management - Con,13-07-1960,MA,Supervisor,Male,88435,Asian,Married,Fully Meets,1,3031,20-12-2022,2,3,2,31-Dec-22,Technical Skills,External,Incomplete,Jacksonborough,Heidi Cole,2,783.36,1,405
2605,Cristofer,Schwartz,2023-03-27,2023-07-23,Production Technician I,Maria Hall,cristofer.schwartz@bilearner.com,EW,Leave of Absence,Part-Time,Zone A,Full-Time,Voluntary,Market effect Mrs owner.,Production       ,General - Con,10-11-1941,MA,Supervisor,Male,48042,Asian,Married,Fully Meets,2,3032,06-07-2023,1,3,2,28-Oct-22,Technical Skills,External,Passed,North Justinbury,Kari Sanchez,1,709.78,1,118
2606,Jaelynn,Salazar,2019-08-26,2022-03-09,Production Technician I,Bryan Clark,jaelynn.salazar@bilearner.com,MSC,Leave of Absence,Contract,Zone C,Part-Time,Voluntary,Stay word behavior financial.,Production       ,Engineers,17-03-1946,MA,Field Project Manager,Male,54212,White,Divorced,Fully Meets,2,3033,28-08-2022,3,3,5,08-Jan-23,Customer Service,Internal,Incomplete,Ramirezburgh,Justin Arellano,4,714.64,1,926
2607,Macie,Hayes,2021-10-16,,Production Technician I,Brandy Rivera,macie.hayes@bilearner.com,TNS,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,04-05-1967,MA,Foreman,Female,26202,White,Single,Fully Meets,2,3034,11-10-2022,1,4,2,25-Nov-22,Leadership Development,Internal,Passed,Lake Angela,Deborah White,2,947.76,0,659
2608,Rodney,Snow,2019-06-14,,Production Technician I,Kenneth Parker,rodney.snow@bilearner.com,PYZ,Active,Contract,Zone C,Temporary,Unk,,Production       ,Engineers,14-09-1950,MA,Director,Female,33464,Other,Divorced,Fully Meets,1,3035,06-04-2023,2,4,5,09-May-23,Customer Service,Internal,Completed,Port Brett,Frank Mitchell,1,498.19,0,1514
2609,Reece,Potts,2020-07-05,,Production Technician I,Barbara Perkins,reece.potts@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Technology / It,28-06-1957,MA,Administrator,Female,94333,White,Widowed,Fully Meets,2,3036,25-02-2023,1,4,2,19-Jun-23,Technical Skills,Internal,Failed,West Walter,Carlos Leonard,3,516.4,0,1127
2610,Catalina,Eaton,2020-03-02,,Production Technician I,Lindsey Martin,catalina.eaton@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,06-10-1989,MA,Director,Male,38200,Asian,Married,Fully Meets,4,3037,14-01-2023,3,4,2,01-May-23,Leadership Development,Internal,Failed,Lake Roberthaven,Marc Burns,5,374.69,0,1252
2611,Heidi,Manning,2020-11-11,2021-04-28,Production Technician I,David Stark,heidi.manning@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Involuntary,Enough note majority positive catch trip.,Production       ,Field Operations,20-08-1955,MA,Laborer,Male,76217,White,Divorced,Fully Meets,2,3038,06-10-2022,5,5,5,17-Aug-22,Customer Service,Internal,Incomplete,Edwardsside,Diane Freeman,5,244.22,1,168
2612,Marquis,Johns,2019-12-22,,Production Technician I,Evan Hernandez,marquis.johns@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Unk,,Production       ,Project Management - Con,24-03-1966,MA,Supervisor,Female,91829,Other,Single,Fully Meets,5,3039,03-08-2023,4,2,1,05-Jan-23,Leadership Development,Internal,Completed,New Brendamouth,Alice Mcbride,2,130.81,0,1323
2613,Areli,Torres,2020-12-14,,Production Technician I,Caleb Floyd Jr.,areli.torres@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Field Operations,01-02-1984,MA,Groundman,Female,31946,White,Divorced,Fully Meets,5,3040,23-10-2022,5,1,4,30-Dec-22,Technical Skills,Internal,Passed,Thorntonton,Ethan Brown,5,321.03,0,965
2614,Rey,Morton,2020-06-20,,Production Technician I,Brandon Atkinson,rey.morton@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Production       ,General - Con,22-04-2000,MA,Laborer,Female,2308,White,Single,Fully Meets,2,3041,18-05-2023,5,5,4,28-Jul-23,Project Management,Internal,Completed,Stewartville,William Peterson,4,354.82,0,1142
2615,Deven,Gillespie,2023-06-09,2023-07-12,Production Technician I,Alisha Ramirez,deven.gillespie@bilearner.com,EW,Active,Contract,Zone B,Temporary,Resignation,Man fall nature back church.,Production       ,Fielders,24-06-1961,MA,Engineer,Female,44194,White,Widowed,Exceeds,4,3042,13-01-2023,4,1,2,03-Feb-23,Technical Skills,Internal,Incomplete,New Kimberlyview,Jerome Moss,2,513.54,1,33
2616,Rowan,Gilbert,2022-09-25,,Production Technician I,Caroline Duffy,rowan.gilbert@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Catv,06-03-1963,MA,Supervisor,Male,48124,Black,Widowed,Exceeds,2,3043,01-05-2023,5,3,3,21-Feb-23,Customer Service,External,Completed,New David,Michelle Davila,5,658.12,0,315
2617,Cullen,Ruiz,2020-08-26,2020-12-30,Production Technician I,Charles Dean,cullen.ruiz@bilearner.com,TNS,Active,Contract,Zone B,Part-Time,Retirement,Structure play my piece partner them.,Production       ,General - Con,27-02-1966,MA,Laborer,Male,16165,White,Single,Exceeds,2,3044,07-06-2023,1,1,3,20-Dec-22,Leadership Development,Internal,Passed,Courtneyshire,Breanna Williams,2,643.75,1,126
2618,Kamron,Goodwin,2019-08-28,,Production Technician I,Nicholas Duncan,kamron.goodwin@bilearner.com,PYZ,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,General - Eng,10-02-1968,MA,Engineer,Male,64494,Other,Single,Exceeds,2,3045,12-01-2023,5,4,1,03-Mar-23,Communication Skills,External,Incomplete,Troyshire,Christopher Smith,2,290.75,0,1439
2619,Claudia,Melton,2023-06-02,2023-07-09,Production Technician II,Anna Davidson,claudia.melton@bilearner.com,TNS,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Resignation,Organization north interview simply return.,Production       ,Wireline Construction,05-06-1983,MA,Supervisor,Female,85307,Other,Single,Exceeds,4,3046,06-03-2023,2,5,3,14-Jan-23,Communication Skills,Internal,Passed,Lake Jerry,Stephanie Black,2,767.56,1,37
2620,Francesca,Lowe,2018-09-12,,Production Technician II,Micheal Merritt,francesca.lowe@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Engineers,03-10-1965,MA,Administrative,Female,33237,White,Married,Exceeds,5,3047,13-11-2022,4,2,1,13-Jun-23,Customer Service,External,Passed,Leslieview,Mckenzie Myers,1,507.74,0,1789
2621,Violet,Horn,2023-07-15,,Production Technician II,Jeffrey Espinoza,violet.horn@bilearner.com,WBL,Active,Contract,Zone B,Part-Time,Unk,,Production       ,Isp,13-03-1978,MA,Apprentice,Female,34381,White,Married,Fully Meets,2,3048,04-02-2023,2,2,3,08-Jan-23,Customer Service,Internal,Completed,Smithmouth,Scott Brooks,2,919.75,0,22
2622,Carlie,Wagner,2023-07-02,2023-07-25,Production Technician II,Joshua Diaz,carlie.wagner@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Involuntary,Congress foot television team.,Production       ,General - Con,12-05-1948,MA,Laborer,Female,96062,Asian,Married,Fully Meets,4,3049,10-10-2022,5,3,2,20-Jan-23,Project Management,External,Incomplete,Martinberg,Margaret Fitzgerald,4,510.95,1,23
2623,Harmony,Pruitt,2020-02-10,,Production Technician II,Joshua Hunt,harmony.pruitt@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Splicing,22-09-1970,MA,Splicer,Female,78746,White,Single,Fully Meets,4,3050,26-09-2022,1,3,4,06-Nov-22,Project Management,External,Completed,Mooreburgh,Renee Bell,2,826.19,0,1273
2624,Briley,Huerta,2021-08-27,2022-05-01,Production Technician II,Alex Holt,briley.huerta@bilearner.com,BPC,Voluntarily Terminated,Contract,Zone B,Temporary,Voluntary,Onto site natural situation wear.,Production       ,Underground,13-02-1972,MA,Lineman,Female,96336,Asian,Widowed,Fully Meets,5,3051,09-02-2023,3,5,5,02-May-23,Leadership Development,External,Incomplete,Danielmouth,Timothy Richard,1,992.48,1,247
2625,Ean,Barajas,2020-01-25,2023-02-05,Production Technician II,Ralph Delgado,ean.barajas@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,Involuntary,Than me read environment hour goal memory.,Production       ,General - Sga,09-06-1948,MA,Project Coordinator,Female,60154,White,Single,Fully Meets,5,3052,22-07-2023,5,1,3,01-Oct-22,Technical Skills,External,Incomplete,Derekbury,Amanda Bradshaw,3,824.73,1,1107
2626,Dayana,Gregory,2020-03-26,2021-10-08,Production Technician II,Rodney Burch,dayana.gregory@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Resignation,Chance summer fear usually.,Production       ,General - Con,04-01-1958,MA,Lineman,Female,34734,Asian,Widowed,Fully Meets,2,3053,03-02-2023,2,1,3,04-Jul-23,Communication Skills,External,Failed,Lake Katrinastad,Rebecca Terry,2,588.35,1,561
2627,Zaniyah,Mccarthy,2020-10-23,,Production Technician I,Joseph Norris,zaniyah.mccarthy@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Field Operations,26-10-1949,MA,Laborer,Male,59668,White,Married,Fully Meets,1,3054,14-11-2022,5,5,2,07-Jun-23,Leadership Development,External,Incomplete,Port Jason,Marissa Harris,5,144.66,0,1017
2628,Matthias,Simon,2020-12-27,2021-12-07,Production Technician I,Anthony Guerrero,matthias.simon@bilearner.com,EW,Leave of Absence,Part-Time,Zone A,Part-Time,Retirement,Politics plant at far trade sense.,Production       ,Field Operations,04-11-1987,MA,Technician,Male,83604,Other,Divorced,Fully Meets,2,3055,29-09-2022,5,1,3,05-Apr-23,Technical Skills,Internal,Failed,North Janice,Terri Christensen,3,833.23,1,345
2629,Lyric,Butler,2022-06-21,,Production Technician I,Brittany Johnson,lyric.butler@bilearner.com,MSC,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Wireless,29-10-1943,MA,Manager,Female,56056,Other,Divorced,Fully Meets,5,3056,08-04-2023,5,5,2,20-Jun-23,Communication Skills,External,Passed,Terryton,Anthony Stanton,1,535.51,0,411
2630,Bridger,Duran,2022-11-09,2023-07-09,Production Technician I,Richard Contreras,bridger.duran@bilearner.com,TNS,Leave of Absence,Full-Time,Zone A,Temporary,Retirement,Social operation specific personal matter beyond.,Production       ,General - Con,01-02-1988,MA,Laborer,Female,58387,Black,Divorced,Fully Meets,4,3057,06-02-2023,1,2,5,28-May-23,Leadership Development,Internal,Completed,Johnsonville,Melissa Villegas,4,961.84,1,242
2631,Amirah,Cline,2019-02-11,2020-07-30,Production Technician I,Shelia Goodwin,amirah.cline@bilearner.com,PYZ,Leave of Absence,Part-Time,Zone A,Temporary,Involuntary,Loss sense above charge part describe.,Production       ,Yard (Material Handling),19-08-1965,MA,Coordinator,Male,93290,Asian,Divorced,Fully Meets,1,3058,04-07-2023,4,1,1,17-Mar-23,Leadership Development,Internal,Completed,South Kevinside,Tyler Farmer,1,193.58,1,535
2632,Izaiah,Gallagher,2021-03-28,,Production Technician I,James Walker,izaiah.gallagher@bilearner.com,WBL,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Project Management - Con,05-08-1972,MA,Coordinator,Female,73253,White,Widowed,Fully Meets,1,3059,28-03-2023,2,1,3,10-Jul-23,Communication Skills,External,Completed,West William,Joseph Powell,1,164.35,0,861
2633,Marcelo,Galvan,2020-08-29,,Production Technician I,Patrick Martinez,marcelo.galvan@bilearner.com,NEL,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Yard (Material Handling),03-01-1951,MA,Coordinator,Male,13893,Asian,Widowed,Fully Meets,2,3060,14-09-2022,5,2,4,30-Aug-22,Customer Service,Internal,Failed,Farrellview,John Richards,3,165.67,0,1072
2634,Kaylynn,Odom,2023-01-03,2023-08-05,Production Technician I,Brandon Hernandez,kaylynn.odom@bilearner.com,PL,Active,Part-Time,Zone C,Full-Time,Resignation,Sister thought loss hotel eight realize.,Production       ,Wireline Construction,26-09-1956,MA,Foreman,Male,51434,Other,Married,Fully Meets,4,3061,19-07-2023,5,1,3,10-Sep-22,Technical Skills,External,Incomplete,Baileyton,Janet Brady,5,602.56,1,214
2635,Oliver,Dalton,2022-11-28,,Production Technician I,Courtney Poole,oliver.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,General - Con,16-11-1987,MA,Supervisor,Female,71004,Asian,Divorced,Fully Meets,1,3062,20-05-2023,3,4,1,26-Jul-23,Leadership Development,Internal,Passed,North John,Lindsay Butler,1,312.91,0,251
2636,Patience,Henry,2021-12-22,2023-08-03,Production Technician I,Deborah Diaz,patience.henry@bilearner.com,CCDR,Active,Contract,Zone B,Part-Time,Voluntary,Much try remember natural.,Production       ,Field Operations,21-10-1983,MA,Supervisor,Female,46847,Other,Widowed,Fully Meets,5,3063,06-10-2022,1,5,1,28-Sep-22,Project Management,External,Failed,Bellmouth,Charlotte Goodwin,3,767.52,1,589
2637,London,Pennington,2023-07-08,,Production Technician I,Meagan Gaines,london.pennington@bilearner.com,SVG,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Field Operations,23-08-1962,MA,Laborer,Female,76345,Other,Divorced,Fully Meets,4,3064,02-12-2022,2,2,5,31-Jul-23,Project Management,Internal,Incomplete,Andersonfort,Nancy Jones,5,166.35,0,29
2638,Anna,Salazar,2021-04-21,2021-09-21,Production Technician I,Thomas Jackson,anna.salazar@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Resignation,Scientist up policy save I.,Production       ,Field Operations,07-10-1976,MA,Tower Hand,Female,15364,Black,Divorced,Fully Meets,4,3065,01-12-2022,3,1,2,11-Jun-23,Project Management,Internal,Incomplete,Port James,Evelyn Hill,1,997.24,1,153
2639,Vicente,Davis,2022-07-28,2022-10-20,Production Technician I,Jamie Pope,vicente.davis@bilearner.com,MSC,Active,Full-Time,Zone B,Full-Time,Retirement,Purpose feel summer nature small choose can.,Production       ,Field Operations,12-04-1967,MA,Operator,Male,2005,Hispanic,Divorced,Fully Meets,1,3066,04-12-2022,5,4,1,18-Oct-22,Communication Skills,External,Failed,Mitchellbury,Jeffery Phillips,3,258.73,1,84
2640,Annabel,Lewis,2019-11-05,,Production Technician I,Joseph Lane,annabel.lewis@bilearner.com,TNS,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,21-03-1982,MA,Technician,Male,50527,Hispanic,Single,Fully Meets,4,3067,26-12-2022,3,1,2,01-Sep-22,Communication Skills,External,Completed,Jonesshire,Joseph Smith,1,483.26,0,1370
2641,Alana,Nunez,2022-05-22,2022-12-08,Production Technician I,Rose Johnson,alana.nunez@bilearner.com,PYZ,Terminated for Cause,Full-Time,Zone A,Temporary,Resignation,Seat type month.,Production       ,Finance & Accounting,02-05-1947,MA,Assistant,Male,21620,Asian,Single,Fully Meets,5,3068,12-05-2023,3,2,1,18-Nov-22,Customer Service,External,Completed,East Jeanetteberg,Nancy Lowe,3,261.81,1,200
